問題文	答え	メモ	ジャンル
人間の血管を大きく3つに分けると、動脈、静脈ともう1つは何でしょう？	毛細血管	動脈は心臓から体の各部に向かう血管、静脈は体の各部から心臓に向かう血管のことです。毛細血管は動脈と静脈をつなぐ血管となります。この問題の場合、動脈と静脈が答えになる可能性は低いので、「3つに分けると」の時点で押しても良さそうです。	
傘の先端やキノコの根本の部分のことを、地面を突くことから何というでしょう？	石突き	こちらも見たことはあるけど名前が分からない系の問題です。	
演奏者が発する音の指示が1つもないことで有名な、1952年に作曲されたジョン・ケージの楽曲は何でしょう？	4分33秒	第3楽章までの構成で全てタイトルは『休み』となっています。演奏者は何も演奏しませんが、観客はその場で偶然に発せられる音を聴くことに集中します。	
ランカスター家とヨーク家が争った15世紀のイギリス貴族の内乱のことを、両家の紋章に使われた花から「何戦争」というでしょう？	バラ戦争	最終的にはヘンリー7世がヨーク家のエリザベス女王と結婚してテューダー朝を開いて幕を閉じました。	
ウグイスの鳴き声を「法華経」と表現するなどのように、動物の鳴き声を人間の言葉に置き換えることを何というでしょう？	聞きなし	犬の「ワンワン」なども聞きなしの一種です。国によっても聞きなしの内容は変わってきます。	
お腹いっぱいであることを、ある魚の名前を用いて何というでしょう？	たらふく	魚のタラが非常に貪欲であることが語源とする説があります。タラは漢字で「鱈」や「大口魚」と書くことも覚えておきましょう。	
略称を「プロ倫」という、ドイツの社会学者であるマックス・ウェーバーの論文といえば何でしょう？	プロテスタンティズムの倫理と資本主義の精神	長い名前が答えになるクイズは以下にまとめてあります。	
赤道近くにあるためその山頂が地球の中心から最も離れていることで知られる、標高6268mでエクアドルの最高峰となっている山は何でしょう？	チンボラソ山	地球は楕円形をしているため、赤道付近の方が地球の中心からは離れることになります。山に関するクイズは以下にまとめてあります。	
1つのコンセントに複数の電気機器を接続することを、ある海の生き物を用いた表現で何というでしょう？	タコ足配線	わざわざ「1つの」とついていることから答えが予測できます。テーブルタップなどを用いることでタコ足配線にできますが、過度な電気使用による発火の恐れがあります。	
スイスで使われている4つの公用語とは、ドイツ語、フランス語、イタリア語と何でしょう？	ロマンシュ語	"「4つの公用語とは」の時点で、最もマイナーなロマンシュ語が答えになる可能性が高いです。
スイス内で最も話されているのはドイツ語です。"	
「あか」と書かれた青い文字を見ると判断が遅くなるように、色から得られる情報と意味から得られる情報が干渉する現象のことを「何効果」というでしょう？	ストループ効果	心理学者のジョン・ストループによって報告されました。クイズによく出る効果や法則は以下にまとめてあります。	
